"Timestamp","4MMANGS1 - Qualité globale de l'enseignement :","4MMANGS1 - Qualité des supports de l'enseignement :","4MMANGS1 - Pertinence de l'enseignement dans le cursus:","4MMANGS1 - Commentaires:","4MMEPSS1 - Qualité globale de l'enseignement :","4MMEPSS1 - Qualité des supports de l'enseignement :","4MMEPSS1 - Pertinence de l'enseignement dans le cursus:","4MMEPSS1 - Commentaires:","4MMGDPGL - Qualité globale de l'enseignement :","4MMGDPGL - Qualité des supports de l'enseignement :","4MMGDPGL - Pertinence de l'enseignement dans le cursus:","4MMGDPGL - Commentaires:","4MMPBD - Qualité globale de l'enseignement :","4MMPBD - Qualité des supports de l'enseignement :","4MMPBD - Pertinence de l'enseignement dans le cursus:","4MMPBD - Commentaires:","4MMPGL6 - Qualité globale de l'enseignement :","4MMPGL6 - Qualité des supports de l'enseignement :","4MMPGL6 - Pertinence de l'enseignement dans le cursus:","4MMPGL6 - Commentaires:","4MMPOO6 - Qualité globale de l'enseignement :","4MMPOO6 - Qualité des supports de l'enseignement :","4MMPOO6 - Pertinence de l'enseignement dans le cursus:","4MMPOO6 - Commentaires:","4MMPPIP - Qualité globale de l'enseignement :","4MMPPIP - Qualité des supports de l'enseignement :","4MMPPIP - Pertinence de l'enseignement dans le cursus:","4MMPPIP - Commentaires:","4MMPSGBD - Qualité globale de l'enseignement :","4MMPSGBD - Qualité des supports de l'enseignement :","4MMPSGBD - Pertinence de l'enseignement dans le cursus:","4MMPSGBD - Commentaires:","4MMAFCD6 - Ce cours faisait-il partie de tes options ?","4MMAFCD6 - Qualité globale de l'enseignement :","4MMAFCD6 - Qualité des supports de l'enseignement :","4MMAFCD6 - Pertinence de l'enseignement dans le cursus:","4MMAFCD6 - Commentaires:","4MMALLS1 - Ce cours faisait-il partie de tes options ?","4MMALLS1 - Qualité globale de l'enseignement :","4MMALLS1 - Qualité des supports de l'enseignement :","4MMALLS1 - Pertinence de l'enseignement dans le cursus:","4MMALLS1 - Commentaires:","4MMCECA1 - Ce cours faisait-il partie de tes options ?","4MMCECA1 - Qualité globale de l'enseignement :","4MMCECA1 - Qualité des supports de l'enseignement :","4MMCECA1 - Pertinence de l'enseignement dans le cursus:","4MMCECA1 - Commentaires:","4MMMEDP6 - Ce cours faisait-il partie de tes options ?","4MMMEDP6 - Qualité globale de l'enseignement :","4MMMEDP6 - Qualité des supports de l'enseignement :","4MMMEDP6 - Pertinence de l'enseignement dans le cursus:","4MMMEDP6 - Commentaires:","4MMMG6 - Ce cours faisait-il partie de tes options ?","4MMMG6 - Qualité globale de l'enseignement :","4MMMG6 - Qualité des supports de l'enseignement :","4MMMG6 - Pertinence de l'enseignement dans le cursus:","4MMMG6 - Commentaires:","4MMMOS1 - Ce cours faisait-il partie de tes options ?","4MMMOS1 - Qualité globale de l'enseignement :","4MMMOS1 - Qualité des supports de l'enseignement :","4MMMOS1 - Pertinence de l'enseignement dans le cursus:","4MMMOS1 - Commentaires:","4MMMPA6 - Ce cours faisait-il partie de tes options ?","4MMMPA6 - Qualité globale de l'enseignement :","4MMMPA6 - Qualité des supports de l'enseignement :","4MMMPA6 - Pertinence de l'enseignement dans le cursus:","4MMMPA6 - Commentaires:","4MMMTA - Ce cours faisait-il partie de tes options ?","4MMMTA - Qualité globale de l'enseignement :","4MMMTA - Qualité des supports de l'enseignement :","4MMMTA - Pertinence de l'enseignement dans le cursus:","4MMMTA - Commentaires:","4MMOC6 - Ce cours faisait-il partie de tes options ?","4MMOC6 - Qualité globale de l'enseignement :","4MMOC6 - Qualité des supports de l'enseignement :","4MMOC6 - Pertinence de l'enseignement dans le cursus:","4MMOC6 - Commentaires:","4MMSANG - Ce cours faisait-il partie de tes options ?","4MMSANG - Qualité globale de l'enseignement :","4MMSANG - Qualité des supports de l'enseignement :","4MMSANG - Pertinence de l'enseignement dans le cursus:","4MMSANG - Commentaires:","4MMSD6 - Ce cours faisait-il partie de tes options ?","4MMSD6 - Qualité globale de l'enseignement :","4MMSD6 - Qualité des supports de l'enseignement :","4MMSD6 - Pertinence de l'enseignement dans le cursus:","4MMSD6 - Commentaires:","4MMSM - Ce cours faisait-il partie de tes options ?","4MMSM - Qualité globale de l'enseignement :","4MMSM - Qualité des supports de l'enseignement :","4MMSM - Pertinence de l'enseignement dans le cursus:","4MMSM - Commentaires:","4MMTANS1 - Ce cours faisait-il partie de tes options ?","4MMTANS1 - Qualité globale de l'enseignement :","4MMTANS1 - Qualité des supports de l'enseignement :","4MMTANS1 - Pertinence de l'enseignement dans le cursus:","4MMTANS1 - Commentaires:","2AMMIS - Le semestre passé a-t-il globalement correspondu à tes attentes ?","2AMMIS - Les différents modules sont bien équilibrés.","2AMMIS - Commentaires:"
"2017/01/28 11:10:43 am CET","5","5","6","Fait dans l'autre support (je n'arrive pas à c/c).","2","5","2","Fait dans l'autre support (je n'arrive pas à c/c).","4","4","5","","3","3","5","","5","5","6","","6","6","6","","2","1","4","","2","2","5","","Non","","","","","Oui","6","6","6","","Oui","5","5","5","","Oui","5","5","5","","Oui","5","5","5","","Non","","","","","Oui","4","5","5","","Non","","","","","Oui","3","1","2","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","3","3","Le semestre était très intensif entre les cours, les projets, et les partiels. "
"2017/01/28 2:03:36 pm CET","4","2","3","Les quelques ateliers relatifs à l'insertion professionnelle (réalisations de CV, simulations d'entretiens téléphoniques, ...) sont une bonne idée sur le principe. En pratique, ces cours d'anglais étaient trop peu interactifs pour être réellement intéressants.","2","2","3","Activité extrèmement mal coordinée, les inscriptions cette année ont été une aberration. Le manque de communication sur les modalités d'inscription et les stratégies d'affectation sont à revoir entièrement. Il serait également pertinent de tourner les crénaux horaires d'une année sur l'autre, ou au moins les lieux de pratique, afin d'éviter que ce soit toujours les mêmes actiités qui se trouvent délocalisées sur un site isolé (En l'occurence ici, Sassenage)","4","4","4","L'exercice proposé pour travailler la cohésion de groupe était très bien pensé : divertissant, très instructif et stimulant.","3","2","5","Ce projet est à échéance trop serrée, et surtout en parallèle aux autres cours ce qui ne permet pas d'y accorder le temps qu'il requiert. Il est censé être la mise en application du cours suivi en début de semestre, sauf que suite à une mauvaise distribution du cours, les concepts n'ont pas été suffisamment acquis pour mettre le projet en oeuvre. La encore, les encadrants n'ont pas été en mesure de répondre aux question des élèves, qui ont été pénalisés lors de la soutenance du projet, car personne n'avait pu leur expliquer de manière claire certains points du cours.","3","4","5","Le volume du projet est bien trop mal calibré par rapport au temps disponible pour le projet. En particulier au niveau des extensions, la description fournie au moment du choix et trop succinte, et ne rend pas suffisamment compte du travail qu'il sera demandé. De plus, le travail demandé est trop inégal d'une extension sur l'autre, certaines font presque doubler la quantité de travail nécessaire pour une réalisation correcte. Les cours dispensés en début de projet étaient nécessaires, ils doivent être conservés, mais dans le même temps ils retardent la production nécessaire pour la première échéance. Ces échances sont trop serrées et maintienne une pression très forte sur les étudiants. De même, le polycopié détaillant toutesles spécifications du projet et bien construit, mais extrèmement volumineux, et prend donc du temps à assimiler en début de projet. Il aurait été judicieux de rendre ce polycopié disponble aux élèves avant le début du projet, et de les informer de la présence de ce polycopié. Dans l'ensemble, il est inacceptable d'attendre que les étudiants passent 70h par semaine pendant tout un mois sur un tel projet pour parvenir aux objectifs attendus.","4","6","6","Le concept de revues de pairs est intéressant pour le projet, car il permet de se confronter aux idées d'un autre groupe et d'avoir une autre façon de penser le projet. Cependant, cela à été aussi perçu comme un moyen de réduire les frais : faire corriger les projets par les élèves, ce qui prend également une grosse part de temps non comprise dans le volume horaire, plutôt que de payer des professeurs pour le faire.","4","3","5","Ce cours est utile mais mal introduit : la première occurence de ce cours était un atelier CV ou essentiellement on nous fait relire nos CV pour les améliorer. Cette séance est arrivée a l'improviste, il aurait été préférable de faire une première séance de 'cours', suivie d'une autre de relecture / corrections / précisions.","2","1","5","Le support du cours est bien trop brouillon pour un concept qui est quasiment indispensable pour un futur ingénieur. Les concepts sont mal présentés, le support visuel inadéquat : il est utopique de penser que des étudiants puissent suivre un cours de 90 diapositives contenant énormément de texte ou de notations et symboles obscurs, étalé sur un unique créneau de 1h30. Le TD est très peu pédagogue ; lors des corrections on nous donne la réponse, mais pas forcément le moyen de comprendre comment arriver à cette réponse. L'encadrant de TD étant parfois incapable de répondre aux questions des étudiants sur ce sujet.","Non","","","","","Non","","","","","Non","","","","","Oui","4","4","4","Cours très utile et bien structuré, cependant les exercices de TD sont souvent peu inspirants, et le temps est insuffisant pour pouvoir réaliser tout le travail demandé.","Oui","5","5","5","Le cours pouvait par moments manquer de clarté, certains points ont été trop légèrements traités, en particulier les notions liées à la courbure. Cependant les exercices de TD étaient bien pensés et bien encadrés, ils permettaient une bonne assimilation du cours. Le projet manqiait un peu d'encadrement, en particulier pour le langage MatLab qui était proposé, dont on a eu qu'un formation très succinte dans un cours précédent.","Oui","3","3","3","Cours peu dynamique et passionnant","Oui","3","3","4","Le cours est un peu confus, il est difficile de faire la part des choses entre ce qu'il est indispensable d'assimiler, et ce qui est seulement une illustration du cours. Cette difficulté est accrue par la forte différence entre le cours donné au tableau et le polycopié du cours, de nombreux points du polycopiés ne sont pas traités ou dans un ordre différent.  Enfin, les TD ont été mal encadrés, nous nous sommes trop souvent retrouvés livrés çà nous même lors de difficulté à comprendre le cours.","Non","","","","","Oui","6","6","6","Le cours est bien construit et bien présenté, dynamique et ponctué d'exemples concrets qui rendent le suivi de ce cours aisé. Les exercices proposés en TD permettent bien la compréhension des techniques vues en cours.","Non","","","","","Non","","","","","Oui","4","3","3","Le cours est relativement simple à suivre. Les études de cas faites en TD sont basées sur des thèmes qui ne m'ont pas fait me sentir impliqué, et pourrait bénéficier d'être faites sur des secteurs d'activités plus proches de ceux des élèves ENSIMAG.","Non","","","","","3","1","Il est très frustrant que les matières qui demandent le plus de notre temps sont celles qui sont à la périphérie de notre cursus : sport, langues, cours de SHEME. Les projets à faire sont pertinents, car c'est par la pratique qu'on apprend le mieux, mais demandent énormément de temps en parallèle des cours. On appréciera toutefois qu'un effort à été fait pour ne pas avoir toutes les échéances de projets simultanées."
"2017/01/29 3:08:33 pm CET","5","5","5","","5","3","4","Volley Féminin : 1 seul créneau possible. Horaires trop tardives (entrainements 20-22, match 20-23)","2","3","4","","3","3","4","","5","4","6","","4","4","6","","2","2","2","","4","1","6","","Non","","","","","Oui","3","3","5","","Oui","3","3","4","","Oui","3","4","4","","Oui","5","5","4","","Non","","","","","Oui","5","5","6","","Non","","","","","Oui","3","2","6","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","5","5",""
"2017/01/30 5:20:13 pm CET","4","3","5","","4","4","6","","2","4","5","","4","3","3","","4","4","3","","6","6","5","","3","3","3","","5","4","4","","Non","","","","","Oui","6","6","6","","Non","","","","","Oui","3","2","3","","Oui","2","2","4","","Oui","4","3","3","","Oui","5","5","6","","Non","","","","","Oui","4","5","6","","Non","","","","","Non","","","","","Oui","3","4","2","","Non","","","","","5","3",""
"2017/01/30 6:35:28 pm CET","5","4","5","","5","2","4","Gestion des voeux très mauvaise et quotas INP décevants","3","3","4","","2","3","4","","5","5","6","","5","5","6","","3","3","5","","2","4","5","","Non","","","","","Non","","","","","Non","","","","","Oui","5","5","5","","Oui","2","4","4","Cours magistraux très peu clairs","Oui","3","4","4","","Oui","5","5","6","","Oui","4","5","3","","Oui","5","2","5","Pas vraiment de poly de cours","Non","","","","","Non","","","","","Oui","2","5","4","","Non","","","","","5","4",""
"2017/01/31 9:53:40 am CET","4","4","4","","2","2","2","","4","4","4","","3","3","3","","4","4","4","","6","6","6","","2","2","2","","4","4","4","","Non","","","","","Oui","5","5","5","","Non","","","","","Oui","4","4","4","","Oui","4","4","4","","Oui","3","3","2","","Oui","5","5","5","","Non","","","","","Oui","3","3","3","","Non","","","","","Non","","","","","Oui","3","3","3","","Non","","","","","4","4",""
"2017/01/31 11:54:02 am CET","4","3","4","","5","5","5","","4","5","6","","3","4","5","","4","5","6","","5","6","6","","5","5","4","","3","4","5","","Oui","4","6","5","","Oui","3","4","5","","Oui","5","4","6","","Non","","","","","Non","","","","","Non","","","","","Oui","5","5","6","","Non","","","","","Oui","3","3","6","Pas de document de référence","Non","","","","","Oui","4","3","5","","Non","","","","","Non","","","","","4","5",""
"2017/02/04 8:29:31 pm CET","4","4","4","Un fort investissement est attendu alors qu'il ne s'agit pas d'une de nos matières principales.","5","4","2","Les problèmes lors de l'inscription en sport ce semestre doivent être corrigés.","3","4","3","","3","3","5","","4","4","5","","5","5","5","","2","3","3","L'absence d'encadrant pour le TD de certains groupes aurait due être signalée afin d'éviter que des étudiants attendent en vain un intervenant.","4","4","5","","Oui","5","5","5","","Oui","6","6","3","","Non","","","","","Non","","","","","Non","","","","","Oui","3","2","2","Le fait que l'énoncé du DM n'avait pas été envoyé a été remonté rapidement, mais il a fallu attendre très longtemps avant d'avoir une réaction.","Oui","4","4","4","","Non","","","","","Oui","6","6","5","","Non","","","","","Oui","5","5","5","","Oui","3","3","2","","Non","","","","","5","5",""
"2017/02/06 11:17:57 am CET","5","5","5","","4","6","5","Répartition des étudiants catastrophique","5","5","6","","5","5","5","","5","5","6","","6","6","6","","3","1","3","","4","2","5","Slides en amphi souvent inutiles car beaucoup trop denses est nombreux (72 slides de texte pour une heure trente de cours)","Oui","4","2","6","Professeur de TD (Mr. TSOU) pas très pédagogue, il ne nous aidait pas ou peu et les corrections étaient quasi incompréhensibles, les TD n'étaient donc pas très utiles","Oui","6","6","6","","Non","","","","","Non","","","","","Non","","","","","Oui","4","4","4","","Oui","5","5","6","","Non","","","","","Oui","6","6","6","","Non","","","","","Oui","5","3","6","","Oui","5","5","5","Partiel: Le QCM à remplir au stylo bic et l'ordre des réponses qui alterne (Vrai:Faux, puis Faux/Vrai) entraîne de nombreuses erreurs involontaires qui ne représentent pas le vrai niveau de l'élève)","Non","","","","","4","4",""
"2017/02/06 5:13:27 pm CET","4","4","4","","4","2","2","L'organisation des inscriptions n'était pas claire. Pour le 2e semestre j'ai reçu un email m'indiquant que je n'avais pas besoin de me rendre au forum des sports alors qu'il fallait s'y rendre.","4","4","4","","3","4","3","Les consignes du projet n'étaient pas toujours claires.","5","3","5","Il était difficile de trouver une salle avec 5 places pour travailler.
La partie vérification pourrait être plus détaillée dans le poly.","4","4","5","","2","2","3","Mon groupe d'atelier cv n'a pas été prévenu que l'entreprise ne pouvait pas être présente.
Nous aurions pu nous répartir dans d'autres groupes si nous avions été prévenu (je faisais partie du groupe du matin et avais cours l'après-midi).
Je n'ai donc pas pu bénéficier des conseils des professionnels.
Il n'y a pas eu de simulations d'entretien.","3","3","3","","Oui","4","5","4","Les TP manipulaient des notions que nous n'avions pas encore vu en cours. Il aurait été plus facile de faire les TP en ayant fait la partie sur les filtres avant.","Oui","3","3","3","","Non","","","","","Oui","5","6","5","","Oui","3","3","4","La structure du cours n'était pas claire.
J'ai trouvé l'examen bien plus difficile que les TD.","Oui","3","3","2","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Oui","5","6","5","","Oui","4","4","3","","Non","","","","","4","4",""
"2017/02/08 5:46:13 pm CET","5","4","4","","4","5","4","","3","4","5","","2","2","3","","5","5","5","","6","5","5","","4","4","4","","2","3","3","","Non","","","","","Oui","5","3","4","","Oui","4","3","4","","Oui","5","4","4","","Oui","4","4","4","","Non","","","","","Oui","5","4","3","","Non","","","","","Oui","4","3","5","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","2","2",""
"2017/02/10 3:56:13 pm CET","5","6","6","","4","4","3","","4","5","5","","4","6","5","","3","3","4","Ce projet était vraiment pénible à réaliser : documentation difficile à consulter, outils lents et peu efficaces, structure de code fournie à compléter sans choix possibles, ...","6","6","6","","3","3","2","La conférence de Eskel est vraiment intéressante, à refaire.
Il serait bien de pouvoir consulter et modifier ses réponses aux questionnaires.","4","5","6","","Oui","5","6","6","","Oui","5","5","4","","Non","","","","","Non","","","","","Non","","","","","Oui","3","5","3","","Oui","5","6","6","","Non","","","","","Oui","5","5","5","","Non","","","","","Oui","5","4","5","","Oui","4","2","3","","Non","","","","","5","5",""
